time,file_index,rms,kurtosis,mean,std,max,temperature,current,pressure,state_label
2004.02.12.10.32.39,0,0.0741789985651262,0.6292092021170044,-0.01019599609375,0.0734767249303049,0.454,35.01223425812125,2.2278068179815804,99.17740540748406,
2004.02.12.10.42.39,1,0.0753824568113952,0.6487424093070309,-0.002585009765625,0.0753399606664759,0.369,33.741982686189694,2.448221579221638,100.07851741370662,0
2004.02.12.10.52.39,2,0.0762297744691993,0.5138937170258213,-0.002483984375,0.0761911529575269,0.503,35.43377563683704,2.5363635540068072,101.27916053691902,0
2004.02.12.11.02.39,3,0.0787236764660297,1.1585285019885925,-0.002276611328125,0.07869267213116,0.608,36.18068027225049,2.393208273504762,98.4012149575989,0
2004.02.12.11.12.39,4,0.0784742907367796,0.6036172404933771,-0.002403857421875,0.0784393791581009,0.391,32.80615141024257,2.5695155716263263,101.8563353007647,0
2004.02.12.11.22.39,5,0.0783146413938072,0.4564980180015072,-0.001623095703125,0.0782997316393255,0.439,35.34727612035767,2.058651677493139,103.48622422079981,0
2004.02.12.11.32.39,6,0.0786324432585717,0.4790248714887761,-0.0016064453124999,0.0786179512724628,0.388,34.35873277396389,2.2645944180582696,100.2748609376691,0
2004.02.12.11.42.39,7,0.0777728802246483,0.4723907313621684,-0.00202666015625,0.0777483678524736,0.415,33.815932458554606,2.50034460699601,101.16222608447453,0
2004.02.12.11.52.39,8,0.0790294298426225,0.4049061226193671,-0.0019162109375,0.0790081243664382,0.386,34.53620677878402,2.3803143015106842,101.30903235989302,0
2004.02.12.12.02.39,9,0.0757175598983031,0.3255757503276313,-0.002096630859375,0.075690374248778,0.378,33.109614824866554,2.4781702620114276,99.3769621226008,0
2004.02.12.12.12.39,10,0.0792411164801179,0.4556161131158331,-0.001791259765625,0.0792228021916907,0.4,34.5056592042304,2.3764670702058144,99.53937471937967,0
2004.02.12.12.22.39,11,0.077638908086269,0.641964748352406,-0.001555029296875,0.0776252288575209,0.474,34.86870218899002,2.300937054785542,99.18120025340598,0
2004.02.12.12.32.39,12,0.077404580876231,0.3651081242923188,-0.00245126953125,0.0773676462831253,0.4,34.21833863510676,2.424309646803457,97.13754189619489,0
2004.02.12.12.42.39,13,0.0798646872010324,0.5986922642359729,-0.001033984375,0.0798599433057392,0.42,34.0863121675842,2.3908338281054067,98.51160796341243,0
2004.02.12.12.52.39,14,0.0792169800714507,0.5515379564037981,-0.0023719238281249,0.079183395114312,0.422,33.89166724305844,2.4748686313666646,99.21310496275026,0
2004.02.12.13.02.39,15,0.0786617772193871,0.5534797335794162,-0.0015209960937499,0.0786489910969019,0.354,32.931124589384964,2.3921712242172006,101.1535513646367,0
2004.02.12.13.12.39,16,0.078453383600948,0.4803763248784038,-0.0020170898437499,0.0784293637412543,0.439,35.12823908087773,2.4521623079609722,99.46520316196018,0
